Borough,Region
Barking and Dagenham,East
Barnet,North
Bexley,East
Brent,West
Bromley,South
Camden,North
Croydon,South
Ealing,West
Enfield,North
Greenwich,East
Hackney,North
Hammersmith and Fulham,West
Haringey,North
Harrow,West
Havering,East
Hillingdon,West
Hounslow,West
Islington,Central
Kensington and Chelsea,Central
Kingston upon Thames,East
Lambeth,Central
Lewisham,Central
Merton,South
Newham,East
Redbridge,East
Richmond upon Thames,West
Southwark,Central
Sutton,South
Tower Hamlets Central
Waltham Forest,Central
Wandsworth,East
Westminster,Central
